Start, End, Origin, Origin Hub, Destination Hub, Destination, Load MT, First Mile KM, Mid Mile KM, Last Mile KM, Total Distance (KM), TTW (KG), WTT (KG), Trans-Shipment (KG), Total CO2e (KG)  
1-Apr-24,30-Apr-24,562123,562123,562111,534202,1.64,0,25.989,806.623,832.612,299.00620876,27.990044,1.968,328.96425276
1-Apr-24,30-Apr-24,421302,421302,400057,400057,0.15,0,54.945,0,54.945,0.51923025,0.55219725,0.18,1.2514275
1-Apr-24,30-Apr-24,403002,403002,421302,400057,1.72,0,567.602,54.945,622.547,82.67456232,67.20605708,2.064,151.9446194
1-Apr-24,30-Apr-24,600006,600006,600067,560067,0.22,0,31.503,332.262,363.765,16.81050294,1.85320938,0.264,18.92771232
1-Apr-24,30-Apr-24,600006,600006,600067,641018,5.07,0,31.503,522.937,554.44,603.95146539,61.07577528,6.084,671.11124067
1-Apr-24,30-Apr-24,600006,600006,600067,629002,0.68,0,31.503,723.073,754.576,111.48806788,10.77737984,0.816,123.08144772
1-Apr-24,30-Apr-24,600006,600006,600067,625016,2.35,0,31.503,477.289,508.792,255.90894875,26.2711012,2.82,285.00004995
1-Apr-24,30-Apr-24,600006,600006,600067,605013,0.73,0,31.503,184.608,216.111,31.63592313,4.10132469,0.876,36.61324782
1-Apr-24,30-Apr-24,600006,600006,600067,680004,0.06,0,31.503,634.415,665.918,8.64561894,0.84987516,0.072,9.5674941
1-Apr-24,30-Apr-24,600006,600006,600067,620003,0.71,0,31.503,346.491,377.994,56.51505783,6.1727613,0.852,63.53981913
1-Apr-24,30-Apr-24,110092,110092,110017,110085,0.88,0,19.606,30.3,49.906,7.05969264,1.66258576,1.056,9.7782784
1-Apr-24,30-Apr-24,683511,683511,600067,683511,0.08,0,686.561,684.322,1370.883,15.72331768,4.7201364,0.096,20.53945408
1-Apr-24,30-Apr-24,683511,683511,600067,629004,0.39,0,686.561,725.165,1411.726,80.21921817,23.31331158,0.468,104.00052975
1-Apr-24,30-Apr-24,683511,683511,600067,680004,0.51,0,686.561,634.415,1320.976,94.53477453,29.60727072,0.612,124.75404525
1-Apr-24,30-Apr-24,125001,125001,110017,110085,0.01,0,213.643,30.3,243.943,0.20246709,0.14889781,0.012,0.3633649
1-Apr-24,30-Apr-24,700017,700017,711302,756001,18.19,0,29.953,221.154,251.107,935.43048165,112.93765363,21.828,1070.19613528
1-Apr-24,30-Apr-24,700017,700017,711302,751003,83.49,0,29.953,430.018,459.971,8199.64231779,849.69384357,100.188,9149.52416136
1-Apr-24,30-Apr-24,700017,700017,711302,712136,7.65,0,29.953,45.382,75.335,92.20244355,21.94868385,9.18,123.3311274
1-Apr-24,30-Apr-24,700017,700017,711302,753014,25.05,0,29.953,404.416,434.369,2316.52938615,242.75341275,30.06,2589.3427989
1-Apr-24,30-Apr-24,700017,700017,711302,781005,14.23,0,29.953,1016.242,1046.195,3266.14426481,303.31883927,17.076,3586.53910408
1-Apr-24,30-Apr-24,700017,700017,711302,711303,35.52,0,29.953,32.654,62.607,326.8385232,93.32087904,42.624,462.78340224
1-Apr-24,30-Apr-24,700017,700017,711302,795001,22.37,0,29.953,1484.345,1514.298,7480.08773603,675.78441222,26.844,8182.71614825
1-Apr-24,30-Apr-24,700017,700017,711302,700017,7.08,0,29.953,33.92,63.873,67.15464252,18.77142348,8.496,94.422066
1-Apr-24,30-Apr-24,700017,700017,711302,800020,15.23,0,29.953,582.144,612.097,2014.73550285,199.01935001,18.276,2232.03085286
1-Apr-24,30-Apr-24,700017,700017,711302,834001,19.93,0,29.953,376.667,406.62,1719.17070871,182.62903332,23.916,1925.71574203
1-Apr-24,30-Apr-24,500078,500078,520001,500078,2.73,0,292.685,292.685,585.37,229.32162435,68.7165843,3.276,301.31420865
1-Apr-24,30-Apr-24,500078,500078,520001,524004,0.06,0,292.685,290.295,582.98,5.0079141,1.50753,0.072,6.5874441
1-Apr-24,30-Apr-24,500078,500078,520001,533101,0.06,0,292.685,160.843,453.528,3.26807922,1.35995472,0.072,4.70003394
1-Apr-24,30-Apr-24,500078,500078,520001,517501,0.03,0,292.685,415.365,708.05,3.34442745,0.8250549,0.036,4.20548235
1-Apr-24,30-Apr-24,500078,500078,520001,534202,0.04,0,292.685,146.191,438.876,2.04743756,0.89550096,0.048,2.99093852
1-Apr-24,30-Apr-24,452010,452010,455001,462001,0.34,0,53.278,162.931,216.209,13.55003972,2.2662071,0.408,16.22424682
1-Apr-24,30-Apr-24,452010,452010,455001,452010,0.3,0,53.278,49.718,102.996,4.3480038,1.3542804,0.36,6.0622842
1-Apr-24,30-Apr-24,302013,302013,562111,560067,0.01,0,1892.04,102.913,1994.953,1.42251032,1.28722027,0.012,2.72173059
1-Apr-24,30-Apr-24,302013,302013,302003,462001,0.2,0,16.443,594.798,611.241,26.8541322,2.4805686,0.24,29.5747008
1-Apr-24,30-Apr-24,302013,302013,302003,226004,0.01,0,16.443,565.489,581.932,1.27705445,0.11845972,0.012,1.40751417
1-Apr-24,30-Apr-24,700017,700017,711303,560067,0.01,0,56.972,1809.183,1866.155,4.08846228,0.38191601,0.012,4.48237829
1-Apr-24,30-Apr-24,136118,136118,122413,110085,0.02,0,220.398,67.455,287.853,0.57989988,0.32096622,0.024,0.9248661
1-Apr-24,30-Apr-24,141001,141001,122413,143001,0.19,0,379.824,489.705,869.529,25.38833808,6.60299457,0.228,32.21933265
1-Apr-24,30-Apr-24,141001,141001,122413,151001,0.01,0,379.824,371.348,751.172,1.07110864,0.3250382,0.012,1.40814684
1-Apr-24,30-Apr-24,141001,141001,122413,144022,0.06,0,379.824,438.535,818.359,7.32964512,2.02682238,0.072,9.4284675
